cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie,sous catégorie,Détails sous catégorie,Limite qualité ,Unité limite qualité,Commentaire limite qualité,Valeur sanitaire 1,Unité valeur sanitaire 1,Commentaire valeur sanitaire 1,Valeur sanitaire 2,Unité valeur sanitaire 2,Commentaire valeur sanitaire 2
HEPE,1198,HEPTACHLORE ÉPOXYDE,Heptachlore époxyde,,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
HEPEC,1748,HEPTACHLORE ÉPOXYDE CIS,Heptachlore époxyde cis,1024-57-3,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,0.03,,,,,
HEPET,1749,HEPTACHLORE ÉPOXYDE TRANS,Heptachlore époxyde trans,28044-83-9,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
3HXC,1805,HYDROXYCARBOFURAN-3,Hydroxycarbofuran-3,16655-82-6,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
TBZH,1954,HYDROXYTERBUTHYLAZINE,Hydroxyterbuthylazine,66753-07-09,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
MALAOX,5787,MALAOXON,Malaoxon,1634-78-2,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
MESUO,1803,METHIOCARB SULFONE,Methiocarb sulfone,2179-25-1,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
MESUY,1804,METHIOCARB SULFOXYDE,Methiocarb sulfoxyde,2635-10-1,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
CARB3M,8769,METHYL-3-HYDROXYLPHENYLCARBAMATE,Methyl-3-hydroxylphenylcarbamate,13683-89-1,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
MTCNOA,7729,METOLACHLOR NOA 413173,Metolachlor NOA 413173,1418095-19-8,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
NOAMTC,7729,METOLACHLOR NOA 413173,Metolachlor NOA 413173,1418095-19-8,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
MTC3577,7731,MÉTOLACHLORE MÉTABOLITE CGA 357704,Métolachlore métabolite CGA 357704,1217465-10-5,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
MTC3682,7730,MÉTOLACHLORE MÉTABOLITE CGA 368208,Métolachlore métabolite CGA 368208,1173021-76-5,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DMST,6824,"N,N-DIMET-TOLYLSULPHAMID","N,N-Dimet-tolylsulphamid",66840-71-9,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DMSA,7618,"N,N-DIMÉTHYL-N'-PHÉNYLSULFAMIDE","N,N-diméthyl-N'-phénylsulfamide",4710-17-2,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
NDMS,6384,"N,N-DIMETHYLSULFAMIDE","N,N-Dimethylsulfamide",3984-14-3,pesticides,métabolites,pertinent,0.1,µg/L,,Absence,,,,,
CETCOXA,6862,OXA ACETOCHLORE,OXA acetochlore,194992-44-4,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
OXACETC,6862,OXA ACETOCHLORE,OXA acetochlore,194992-44-4,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
OXALCL,6855,OXA ALACHLORE,OXA alachlore,171262-17-2,pesticides,métabolites,pertinent,0.1,µg/L,,50,,,,,
OXAMTZC,6894,OXA METAZACHLORE,OXA metazachlore,1231244-60-2,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
MTZCOXA,6894,OXA METAZACHLORE,OXA metazachlore,1231244-60-2,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
OXAMTC,6853,OXA METOLACHLORE,OXA metolachlore,152019-73-3,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
MTCOXA,6853,OXA METOLACHLORE,OXA metolachlore,152019-73-3,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
OCHA,1848,OXYCHLORDANE,Oxychlordane,27304-13-8,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PARAOX,5806,PARAOXON,Paraoxon,311-45-5,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PARM,5793,PARAOXON MÉTHYL,Paraoxon méthyl,950-35-6,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
12345CB,1888,PENTACHLOROBENZÈNE,Pentachlorobenzène,608-93-5,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PHRTS,7149,PHORATE SULFONE,Phorate Sulfone,2588-04-07,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PHTHA,7587,PHTHALIMIDE,Phthalimide,85-41-6,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PIFODM,5532,PIRIMICARB FORMAMIDO DESMÉTHYL,Pirimicarb formamido desméthyl,27218-04-08,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PPCHL_E,6887,PROPACHLORE ESA,Propachlore ESA,123732-85-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PPCHL_O,7736,PROPACHLORE OXA,Propachlore OXA,70628-36-3,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PRP2H,5968,PROPAZINE 2-HYDROXY,Propazine 2-hydroxy,7374-53-0,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PTU,6214,PROPYLENE THIOUREE,Propylene thiouree,2122-19-2,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PRODES,7936,PROTHIOCONAZOLE-DESTHIO,Prothioconazole-Desthio,120983-64-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
ACETSAA,7718,SAA ACÉTOCHLORE,SAA Acétochlore,618113-86-3,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
SBAZ2H,6101,SEBUTHYLAZINE 2-HYDROXY,Sebuthylazine 2-hydroxy,33124-61-7,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
SEBUT2H,5981,SEBUTHYLAZINE DÉSÉTHYL,Sebuthylazine déséthyl,37019-18-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
SHYD,1831,SIMAZINE HYDROXY,Simazine hydroxy,2599-11-3,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,2,,,,,
DD_S2,7146,"SOMME DDD44',DDE44',DDT24',DDT44'","Somme DDD44',DDE44',DDT24',DDT44'",,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DITHIO1,6235,SOMME MÉTABOLITES DITHIOCARBAMATES,Somme métabolites Dithiocarbamates,,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
TERBMDE,2051,TERBUMÉTON-DÉSETHYL,Terbuméton-désethyl,30125-64-5,pesticides,métabolites,pertinent,0.1,µg/L,,,,,,,
TBZDES,2045,TERBUTHYLAZIN DÉSÉTHYL,Terbuthylazin déséthyl,30125-63-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,12,,,,,
TBZDESH,7150,TERBUTHYLAZIN DÉSÉTHYL-2-HYDROXY,Terbuthylazin déséthyl-2-hydroxy,66753-06-08,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
TBZLM6,,TERBUTHYLAZINE MÉTABOLITE LM6,Terbuthylazine métabolite LM6,,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
THPL,7588,TÉTRAHYDROPHTHALIMIDE,Tétrahydrophthalimide,85-40-5,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
TSON,5476,THIOFANOX SULFONE,Thiofanox sulfone,39184-59-3,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
TSXY,5475,THIOFANOX SULFOXYDE,Thiofanox sulfoxyde,39184-27-5,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
TRAZ2H,6102,TRIETAZINE 2-HYDROXY,Trietazine 2-hydroxy,13532-25-7,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
TRAZDE,5971,TRIETAZINE DESETHYL,Trietazine desethyl,38902-68-0,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DDVP,1170,DICHLORVOS,Dichlorvos,62-73-7,pesticides,substances actives,,0.1,µg/L,,0.24,,,,,
DIAZ,1157,DIAZINON,Diazinon,333-41-5,pesticides,substances actives,,0.1,µg/L,,0.6,,,,,
CYANZ,1137,CYANAZINE,Cyanazine,21725-46-2,pesticides,substances actives,,0.1,µg/L,,0.6,,,,,
SCT,1662,SULCOTRIONE,Sulcotrione,99105-77-8,pesticides,substances actives,,0.1,µg/L,,0.9,,,,,
CFVP,1464,CHLORFENVINPHOS,Chlorfenvinphos,470-90-6,pesticides,substances actives,,0.1,µg/L,,1.5,,,,,
CYM,1139,CYMOXANIL,Cymoxanil,57966-95-7,pesticides,substances actives,,0.1,µg/L,,1.5,,,,,
KEPONE,1866,CHLORDÉCONE,Chlordécone,143-50-0,pesticides,substances actives,,0.1,µg/L,,1.5,,,,,
SMZ,1263,SIMAZINE,Simazine,122-34-9,pesticides,substances actives,,0.1,µg/L,,2,,,,,
MCPA,1212,"2,4-MCPA","2,4-MCPA",94-74-6,pesticides,substances actives,,0.1,µg/L,,2,,,,,
HCHG,1203,HCH GAMMA (LINDANE),HCH gamma (lindane),58-89-9,pesticides,substances actives,,0.1,µg/L,,2,,,,,
TERBU,1269,TERBUTRYNE,Terbutryne,886-50-0,pesticides,substances actives,,0.1,µg/L,,3,,,,,
AMNTZ,1105,AMINOTRIAZOLE,Aminotriazole,61-82-5,pesticides,substances actives,,0.1,µg/L,,3,,,,,
CARBR,1130,CARBOFURAN,Carbofuran,1563-66-2,pesticides,substances actives,,0.1,µg/L,,3,,,,,
DSEB,1491,DINOSEB,Dinoseb,88-85-7,pesticides,substances actives,,0.1,µg/L,,3,,,,,
FSLZ,1194,FLUSILAZOL,Flusilazol,85509-19-9,pesticides,substances actives,,0.1,µg/L,,3,,,,,
MTHION,1217,MÉTHIDATHION,Méthidathion,950-37-8,pesticides,substances actives,,0.1,µg/L,,3,,,,,
TBZ,1268,TERBUTHYLAZIN,Terbuthylazin,5915-41-3,pesticides,substances actives,,0.1,µg/L,,4.9,,,,,
DIQDBMD,7142,DIQUAT DIBROMIDE,Diquat dibromide,85-00-7,pesticides,substances actives,,0.1,µg/L,,6,,,,,
FOMESAF,2075,FOMESAFEN,Fomesafen,72178-02-0,pesticides,substances actives,,0.1,µg/L,,7.5,,,,,
ISP,1208,ISOPROTURON,Isoproturon,34123-59-6,pesticides,substances actives,,0.1,µg/L,,9,,,,,
FPPMP,1189,FENPROPIMORPHE,Fenpropimorphe,67564-91-4,pesticides,substances actives,,0.1,µg/L,,9,,,,,
LNR,1209,LINURON,Linuron,330-55-2,pesticides,substances actives,,0.1,µg/L,,9,,,,,
PARTHM,1233,PARATHION MÉTHYL,Parathion méthyl,298-00-0,pesticides,substances actives,,0.1,µg/L,,9,,,,,
MLNR,1227,MONOLINURON,Monolinuron,1746-81-2,pesticides,substances actives,,0.1,µg/L,,9,,,,,
MCPP,1539,FÉNOPROP,Fénoprop,93-72-1,pesticides,substances actives,,0.1,µg/L,,9,,,,,
MTC,1221,MÉTOLACHLORE,Métolachlore,51218-45-2,pesticides,substances actives,,0.1,µg/L,,10,,,,,
ACETOCH,1903,ACÉTOCHLORE,Acétochlore,34256-82-1,pesticides,substances actives,,0.1,µg/L,,10,,,,,
FNP,1214,MÉCOPROP,Mécoprop,93-65-2,pesticides,substances actives,,0.1,µg/L,,10,,,,,
OXDZ,1667,OXADIAZON,Oxadiazon,19666-30-9,pesticides,substances actives,,0.1,µg/L,,10.8,,,,,
PSFC,1092,PROSULFOCARBE,Prosulfocarbe,52888-80-9,pesticides,substances actives,,0.1,µg/L,,11,,,,,
GFST,1526,GLUFOSINATE,Glufosinate,51276-47-2,pesticides,substances actives,,0.1,µg/L,,11,,,,,
PROM,1254,PROMÉTHRINE,Prométhrine,7287-19-6,pesticides,substances actives,,0.1,µg/L,,12,,,,,
GFSTNH3,2731,GLUFOSINATE-AMMONIUM,Glufosinate-ammonium,77182-82-2,pesticides,substances actives,,0.1,µg/L,,13,,,,,
FLUTHI,1940,FLUFENACET,Flufenacet,142459-58-3,pesticides,substances actives,,0.1,µg/L,,15,,,,,
IOXY,1205,IOXYNIL,Ioxynil,1689-83-4,pesticides,substances actives,,0.1,µg/L,,15,,,,,
HXCZ,1405,HEXACONAZOLE,Hexaconazole,79983-71-4,pesticides,substances actives,,0.1,µg/L,,15,,,,,
PRQT,1522,PARAQUAT,Paraquat,4685-14-7,pesticides,substances actives,,0.1,µg/L,,15,,,,,
DIU,1177,DIURON,Diuron,330-54-1,pesticides,substances actives,,0.1,µg/L,,21,,,,,
THISUME,1913,THIFENSULFURON MÉTHYL,Thifensulfuron méthyl,79277-27-3,pesticides,substances actives,,0.1,µg/L,,22,,,,,
MESOTRI,2076,MÉSOTRIONE,Mésotrione,104206-82-8,pesticides,substances actives,,0.1,µg/L,,22,,,,,
MTBR,1515,MÉTOBROMURON,Métobromuron,3060-89-7,pesticides,substances actives,,0.1,µg/L,,24,,,,,
DCAMB,1480,DICAMBA,Dicamba,1918-00-9,pesticides,substances actives,,0.1,µg/L,,28,,,,,
CTOL,1136,CHLORTOLURON,Chlortoluron,15545-48-9,pesticides,substances actives,,0.1,µg/L,,30,,,,,
24D,1141,"2,4-D","2,4-D",94-75-7,pesticides,substances actives,,0.1,µg/L,,30,,,,,
CLMPE,1083,CHLORPYRIPHOS ÉTHYL,Chlorpyriphos éthyl,2921-88-2,pesticides,substances actives,,0.1,µg/L,,30,,,,,
TRBNURO,2064,TRIBENURON-MÉTHYLE,Tribenuron-méthyle,101200-48-0,pesticides,substances actives,,0.1,µg/L,,30,,,,,
DICHLB,1679,DICHLOBÉNIL,Dichlobénil,1194-65-6,pesticides,substances actives,,0.1,µg/L,,30,,,,,
BMUCON,1860,BROMUCONAZOLE,Bromuconazole,116255-48-2,pesticides,substances actives,,0.1,µg/L,,30,,,,,
DITHIAN,1966,DITHIANON,Dithianon,3347-22-6,pesticides,substances actives,,0.1,µg/L,,30,,,,,
VCLZ,1291,VINCHLOZOLINE,Vinchlozoline,50471-44-8,pesticides,substances actives,,0.1,µg/L,,30,,,,,
THIR,1718,THIRAME,Thirame,137-26-8,pesticides,substances actives,,0.1,µg/L,,30,,,,,
MTBZ,1225,MÉTRIBUZINE,Métribuzine,21087-64-9,pesticides,substances actives,,0.1,µg/L,,40,,,,,
FLAZASU,1939,FLAZASULFURON,Flazasulfuron,104040-78-0,pesticides,substances actives,,0.1,µg/L,,40,,,,,
FLUXA,7342,FLUXAPYROXAD,Fluxapyroxad,907204-31-3,pesticides,substances actives,,0.1,µg/L,,44,,,,,
CLTHAL,1473,CHLOROTHALONIL,Chlorothalonil,1897-45-6,pesticides,substances actives,,0.1,µg/L,,45,,,,,
FPRO,1700,FENPROPIDIN,Fenpropidin,67306-00-7,pesticides,substances actives,,0.1,µg/L,,51,,,,,
ATRZ,1107,ATRAZINE,Atrazine,1912-24-9,pesticides,substances actives,,0.1,µg/L,,60,,,,,
PROP,1256,PROPAZINE,Propazine,139-40-2,pesticides,substances actives,,0.1,µg/L,,60,,,,,
DMTH,1678,DIMÉTHÉNAMIDE,Diméthénamide,87674-68-8,pesticides,substances actives,,0.1,µg/L,,60,,,,,
CBDZ,1129,CARBENDAZIME,Carbendazime,10605-21-7,pesticides,substances actives,,0.1,µg/L,,60,,,,,
METACET,1796,MÉTALDÉHYDE,Métaldéhyde,108-62-3,pesticides,substances actives,,0.1,µg/L,,60,,,,,
NFZ,1669,NORFLURAZON,Norflurazon,27314-13-2,pesticides,substances actives,,0.1,µg/L,,60,,,,,
PROSULF,2534,PROSULFURON,Prosulfuron,94125-34-5,pesticides,substances actives,,0.1,µg/L,,60,,,,,
ISOXAFL,1945,ISOXAFLUTOLE,Isoxaflutole,141112-29-0,pesticides,substances actives,,0.1,µg/L,,60,,,,,
PPX,1535,PROPOXUR,Propoxur,114-26-1,pesticides,substances actives,,0.1,µg/L,,60,,,,,
DMTHP,5617,DIMETHENAMIDE-P,Dimethenamide-p,163515-14-8,pesticides,substances actives,,0.1,µg/L,,60,,,,,
DAL_SPD,2094,DALAPON SPD,Dalapon spd,75-99-0,pesticides,substances actives,,0.1,µg/L,,66,,,,,
DALAPON,2094,DALAPON 85,Dalapon 85,75-99-0,pesticides,substances actives,,0.1,µg/L,,66,,,,,
CHLOMEQ,2097,CHLOROMÉQUAT CHLORURE (UTILISER CLM,Chloroméquat chlorure (utiliser CLMQ),999-81-5,pesticides,substances actives,,0.1,µg/L,,68,,,,,
THBZ,1713,THIABENDAZOLE,Thiabendazole,148-79-8,pesticides,substances actives,,0.1,µg/L,,73,,,,,
IMAZ,1704,IMAZALILE,Imazalile,35554-44-0,pesticides,substances actives,,0.1,µg/L,,75,,,,,
FCLRD,1675,FLUROCHLORIDONE,Flurochloridone,61213-25-0,pesticides,substances actives,,0.1,µg/L,,89,,,,,
TBCZ,1694,TÉBUCONAZOLE,Tébuconazole,107534-96-3,pesticides,substances actives,,0.1,µg/L,,90,,,,,
PMPA,1359,CYPRODINIL,Cyprodinil,121552-61-2,pesticides,substances actives,,0.1,µg/L,,90,,,,,
MALTH,1210,MALATHION,Malathion,121-75-5,pesticides,substances actives,,0.1,µg/L,,90,,,,,
FENAMID,2057,FÉNAMIDONE,Fénamidone,161326-34-7,pesticides,substances actives,,0.1,µg/L,,90,,,,,
PYRD,1259,PYRIDATE,Pyridate,55512-33-9,pesticides,substances actives,,0.1,µg/L,,108,,,,,
PRPZ,1414,PROPYZAMIDE,Propyzamide,23950-58-5,pesticides,substances actives,,0.1,µg/L,,110,,,,,
DCP,1169,DICHLORPROP,Dichlorprop,120-36-5,pesticides,substances actives,,0.1,µg/L,,110,,,,,
PPCNZ,1257,PROPICONAZOLE,Propiconazole,60207-90-1,pesticides,substances actives,,0.1,µg/L,,120,,,,,
BOSCALI,5526,BOSCALID,Boscalid,188425-85-6,pesticides,substances actives,,0.1,µg/L,,120,,,,,
DMTM,1403,DIMÉTHOMORPHE,Diméthomorphe,110488-70-5,pesticides,substances actives,,0.1,µg/L,,150,,,,,
IMIDA,1877,IMIDACLOPRIDE,Imidaclopride,138261-41-3,pesticides,substances actives,,0.1,µg/L,,180,,,,,
CBTM,1333,CARBÉTAMIDE,Carbétamide,16118-49-3,pesticides,substances actives,,0.1,µg/L,,180,,,,,
IMAT,1695,IMAZAMÉTHABENZ,Imazaméthabenz,100728-84-5,pesticides,substances actives,,0.1,µg/L,,180,,,,,
FLUTO,2985,FLUTOLANIL,Flutolanil,66332-96-5,pesticides,substances actives,,0.1,µg/L,,200,,,,,
DIMEFUR,1870,DIMÉFURON,Diméfuron,34205-21-5,pesticides,substances actives,,0.1,µg/L,,210,,,,,
PROPAMO,6398,PROPAMOCARBE,Propamocarbe,24579-73-5,pesticides,substances actives,,0.1,µg/L,,223,,,,,
METAL,1706,MÉTALAXYLE,Métalaxyle,57837-19-1,pesticides,substances actives,,0.1,µg/L,,240,,,,,
METALM,2987,MÉFÉNOXAM,Méfénoxam,70630-17-0,pesticides,substances actives,,0.1,µg/L,,240,,,,,
NAPR,1519,NAPROPAMIDE,Napropamide,15299-99-7,pesticides,substances actives,,0.1,µg/L,,266,,,,,
PDM,1234,PENDIMÉTHALINE,Pendiméthaline,40487-42-1,pesticides,substances actives,,0.1,µg/L,,277,,,,,
BTZ,1113,BENTAZONE,Bentazone,25057-89-0,pesticides,substances actives,,0.1,µg/L,,300,,,,,
CLDZ,1133,CHLORIDAZONE,Chloridazone,1698-60-8,pesticides,substances actives,,0.1,µg/L,,300,,,,,
DIMETAC,2546,DIMÉTACHLORE,Dimétachlore,50563-36-5,pesticides,substances actives,,0.1,µg/L,,300,,,,,
CLETHO,2978,CLETHODIME,Clethodime,99129-21-2,pesticides,substances actives,,0.1,µg/L,,355,,,,,
BRMCL,1686,BROMACIL,Bromacil,314-40-9,pesticides,substances actives,,0.1,µg/L,,390,,,,,
CLOMAZO,2017,CLOMAZONE,Clomazone,81777-89-1,pesticides,substances actives,,0.1,µg/L,,400,,,,,
AZOXYST,1951,AZOXYSTROBINE,Azoxystrobine,131860-33-8,pesticides,substances actives,,0.1,µg/L,,400,,,,,
CLOPY,1810,CLOPYRALID,Clopyralid,1702-17-6,pesticides,substances actives,,0.1,µg/L,,450,,,,,
DFF,1814,DIFLUFÉNICANIL,Diflufénicanil,83164-33-4,pesticides,substances actives,,0.1,µg/L,,600,,,,,
AMIDOSU,2012,AMIDOSULFURON,Amidosulfuron,120923-37-7,pesticides,substances actives,,0.1,µg/L,,600,,,,,
PPBTX,1709,PIPERONIL BUTOXIDE,Piperonil butoxide,51-03-6,pesticides,substances actives,,0.1,µg/L,,600,,,,,
MEPIQUA,1969,MEPIQUAT,Mepiquat,15302-91-7,pesticides,substances actives,,0.1,µg/L,,600,,,,,
IMETS,1797,METSULFURON MÉTHYL,Metsulfuron méthyl,74223-64-6,pesticides,substances actives,,0.1,µg/L,,660,,,,,
ETFS,1184,ETHOFUMÉSATE,Ethofumésate,26225-79-6,pesticides,substances actives,,0.1,µg/L,,667,,,,,
DTFC,1402,DIETHOFENCARBE,Diethofencarbe,87130-20-9,pesticides,substances actives,,0.1,µg/L,,950,,,,,
FPYR,1765,FLUROXYPIR,Fluroxypir,69377-81-7,pesticides,substances actives,,0.1,µg/L,,2400,,,,,
FPYRM,2547,FLUROXYPIR-MEPTYL,Fluroxypir-meptyl,81406-37-3,pesticides,substances actives,,0.1,µg/L,,2400,,,,,
NICOSUL,1882,NICOSULFURON,Nicosulfuron,111991-09-4,pesticides,substances actives,,0.1,µg/L,,2780,,,,,
MESOSUL,2578,MÉSOSULFURON-MÉTHYL,Mésosulfuron-méthyl,208465-21-8,pesticides,substances actives,,0.1,µg/L,,3000,,,,,
IMAMOX,2986,IMAZAMOX,Imazamox,114311-32-9,pesticides,substances actives,,0.1,µg/L,,9000,,,,,
EFOSITE,1975,FOSETYL-ALUMINIUM,Fosetyl-aluminium,39148-24-8,pesticides,substances actives,,0.1,µg/L,,9000,,,,,
HCHB,1201,HCH BÉTA,HCH béta,319-85-7,pesticides,substances actives,,0.1,µg/L,,"0,017 (associée à ERI = 10-6)",,,,,
ANTHRAQ,2013,ANTHRAQUINONE (PESTICIDE),Anthraquinone (pesticide),84-65-1,pesticides,substances actives,,0.1,µg/L,,"0,5 (associée à ERI =  10-6)",,,,,
IPD,1206,IPRODIONE,Iprodione,36734-19-7,pesticides,substances actives,,0.1,µg/L,,"0,6 (associée à ERI = 10-6)",,,,,
