cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie,sous catégorie,Détails sous catégorie,Limite qualité ,Unité limite qualité,Commentaire limite qualité,Valeur sanitaire 1,Unité valeur sanitaire 1,Commentaire valeur sanitaire 1,Valeur sanitaire 2,Unité valeur sanitaire 2,Commentaire valeur sanitaire 2
MIR,5438,MIREX,Mirex,2385-85-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
ATRZMET,6282,ATRAZINE ET SES MÉTABOLITES,Atrazine et ses métabolites,,pesticides,substances actives,,0.1,µg/L,,,,,,,
ISAZO,1976,ISAZOPHOS,Isazophos,42509-80-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
TCBAZ,5922,TIOCARBAZIL,Tiocarbazil,36756-79-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
PROME,1710,PROMÉCARBE,Promécarbe,2631-37-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
HYMEX,5646,HYMEXAZOL,Hymexazol,10004-44-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
AMINP,7580,AMINOPYRALID,Aminopyralid,150114-71-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLRNB,1341,CHLORONEB,Chloroneb,2675-77-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
DICRO,5525,DICROTOPHOS,Dicrotophos,141-66-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
BUTIL,7038,BUTILATE,Butilate,2008-41-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
CYCLOA,5568,CYCLOATE,Cycloate,1134-23-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
PIPERO,5819,PIPEROPHOS,Piperophos,24151-93-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
ANILO,6594,ANILOPHOS,Anilophos,64249-01-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYDAP,5606,PYRIDAPHENTHION,Pyridaphenthion,119-12-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
ISOPC,5781,ISOPROCARB,Isoprocarb,2631-40-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
CYHABU,5569,CYHALOFOP BUTYL,Cyhalofop butyl,122008-85-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
BENVCI,7460,BENTHIAVALICARBE-ISOPROPYL,Benthiavalicarbe-isopropyl,177406-68-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
ZCYINE,7521,ZETACYPERMETHRINE,Zetacypermethrine,97955-44-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
NALED,1516,NALED,Naled,300-76-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
DCLFNFD,1360,DICHLOFLUANIDE,Dichlofluanide,1085-98-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYRETHR,2062,PYRÉTHRINE,Pyréthrine,8003-34-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
QUIZPE,6637,QUIZALOFOP-P-ÉTHYL,Quizalofop-p-éthyl,100646-51-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
AMINC,5523,AMINOCARBE,Aminocarbe,2032-59-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLAN,1132,CHLORDANE,Chlordane,57-74-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
TRIMC,5695,TRIMETHACARBE,Trimethacarbe,2686-99-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
FNFS,1499,PHÉNAMIPHOS,Phénamiphos,22224-92-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCP244,2751,"MCPP-2,4,4-TRIMETHYLPENTYL ESTER","MCPP-2,4,4-trimethylpentyl ester",217487-13-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCP2OE,2754,MCPP-2 OTYL ESTER,MCPP-2 otyl ester,28473-03-02,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCPA1B,2745,MCPA-1-BUTYL ESTER,MCPA-1-butyl ester,1713-12-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCP2EE,2753,MCPP- 2-ETHYLHEXYL ESTER,MCPP- 2-ethylhexyl ester,71526-69-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCP2BE,2752,MCPP-2-BUTOXYETHYL ESTER,MCPP-2-butoxyethyl ester,23359-62-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCPNIB,2870,MECOPROP-N/ISO-BUTYL ESTER (MÉLANGE),Mecoprop-n/iso-butyl ester (mélange),,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCPME,2755,MCPP-METHYL ESTER,MCPP-methyl ester,2786-19-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYCL,6611,PYRACLOFOS,Pyraclofos,77458-01-06,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENIS,5627,FENIZON,Fenizon,80-38-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
EPN,1873,EPN,EPN,2104-64-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYFE,5509,PYRAFLUFEN ÉTHYL,Pyraflufen éthyl,129630-19-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
ABAMECT,2007,ABAMECTIN,Abamectin,71751-41-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
VALIF,8045,VALIFENALATE,Valifenalate,283159-90-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENOT,5970,FENOTHIOCARBE,Fenothiocarbe,62850-32-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
PRXP,7442,PROXIMPHAN,Proximphan,2828-42-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
DIMEP,7142,DIMÉPIPÉRATE,Dimépipérate,61432-55-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
BUTAM,5710,BUTAMIFOS,Butamifos,36335-67-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
MEPHOS,5791,MEPHOSFOLAN,Mephosfolan,0950-10-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
EDIF,5751,EDIFENPHOS,Edifenphos,17109-49-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYBUT,5826,PYRIBUTICARB,Pyributicarb,88678-67-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
PRPA,6964,PROPAPHOS,Propaphos,7292-16-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
DIMET,6972,DIMÉTHYLVINPHOS,Diméthylvinphos,2274-67-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
FAMP,5761,FAMPHUR,Famphur,52-85-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
TECNAZ,5413,TECNAZENE,Tecnazene,117-18-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
TETRAS,5837,TETRASUL,Tetrasul,2227-13-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLFSON,5553,CHLORFENSON,Chlorfenson,80-33-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
FRAZ,7441,FURILAZOLE,Furilazole,121776-33-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
PROFOX,8046,PROFOXYDIM,Profoxydim,139001-49-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENAZAQ,2742,FÉNAZAQUIN,Fénazaquin,120928-09-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
4C2MPH,1634,CHLORO-4 MÉTHYLPHÉNOL-2,Chloro-4 Méthylphénol-2,1570-64-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
FCLAZE,7513,FENCHLORAZOLE ETHYL,Fenchlorazole ethyl,103112-35-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
TCLNAT,1720,TRICHLORONAT,Trichloronat,327-98-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
BUFENC,7502,BUFENCARBE,Bufencarbe,8065-36-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
CRUFOM,5725,CRUFOMATE,Crufomate,299-86-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
CROTOX,5724,CROTOXYPHOS,Crotoxyphos,7700-17-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
SULPRO,5831,SULPROFOS,Sulprofos,35400-43-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
ALLYXY,7501,ALLYXYCARBE,Allyxycarbe,6392-46-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
TEBUPI,7511,TEBUPIRIMFOS,Tebupirimfos,96182-53-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
MEXAC,7143,MEXACARBATE,Mexacarbate,315-18-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCPAEE,6942,"2,4-D 2-ETHYLHEXYL","2,4-D 2-Ethylhexyl",1928-43-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
MERPHO,5840,MERPHOS,Merphos,150-50-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
AMIDIT,5697,AMIDITHION,Amidithion,919-76-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
CYANFP,5726,CYANOFENPHOS,Cyanofenphos,13067-93-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
IBP,5777,IPROBENFOS (IBP),Iprobenfos (IBP),26087-47-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
AMIPRM,7516,AMIPROFOS-METHYL,Amiprofos-methyl,36001-88-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
MECARB,5789,MECARBAM,Mecarbam,2595-54-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
ISOXAT,5784,ISOXATHION,Isoxathion,18854-01-08,pesticides,substances actives,,0.1,µg/L,,,,,,,
SETHOX,1808,SETHOXYDIM,Sethoxydim,74051-80-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
MTOLC,5796,METOLCARB,Metolcarb,1129-41-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
TLINE,1658,TRALOMÉTHRINE,Tralométhrine,66841-25-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
PPCBS,5602,PROPOXYCARBAZONE,Propoxycarbazone,181274-15-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
EMAM,8102,EMAMECTINE,Emamectine,119791-41-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
MITC,2722,MÉTHYL ISOTHIOCYANATE,Méthyl isothiocyanate,556-61-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
FNAP,5691,FÉNOXAPROP,Fénoxaprop,95617-09-07,pesticides,substances actives,,0.1,µg/L,,,,,,,
24DME,2873,"2,4-D-METHYL ESTER","2,4-D-methyl ester",1928-38-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
MDNOCP,1677,MEPTYLDINOCAP,Meptyldinocap,131-72-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
MANC,1211,MANCOZÈBE,Mancozèbe,07/01/8018,pesticides,substances actives,,0.1,µg/L,,,,,,,
DMT,1550,DÉMÉTON,Déméton,8065-48-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
KARBUT,7505,KARBUTILATE,Karbutilate,4849-32-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
ISMTZN,5780,ISOMETHIOZIN,Isomethiozin,57052-04-07,pesticides,substances actives,,0.1,µg/L,,,,,,,
AZYPRO,5699,AZIPROTRYNE,Aziprotryne,4658-28-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
TBUC,5835,TERBUCARB,Terbucarb,02/11/1918,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENFU,1843,FENFURAN,Fenfuran,24691-80-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
FORME,1703,FORMÉTANATE,Formétanate,22259-30-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
SYSTOX,1150,DÉMÉTON-O,Déméton-O,0298-03-03,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLOFEN,1868,CLOFENTÉZINE,Clofentézine,74115-24-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
THIOPE,7514,THIOPHANATE ETHYL,Thiophanate ethyl,23564-06-09,pesticides,substances actives,,0.1,µg/L,,,,,,,
DMTS,1152,DÉMÉTON-S,Déméton-S,126-75-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCPA2E,2748,MCPA-ETHYL ESTER,MCPA-ethyl ester,2698-38-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
PRTT,5683,PERMÉTHRINE-TRANS,Perméthrine-trans,61949-77-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
PRTC,5682,PERMÉTHRINE-CIS,Perméthrine-cis,61949-76-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
DBCP,1479,"DIBROMO-1,2-CHLORO-3PROPANE","Dibromo-1,2-chloro-3propane",96-12-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
DPLLTH,1697,DÉPALLETHRINE,Dépallethrine,584-79-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
CNEB,1341,CHLORONEB,Chloroneb,2675-77-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
BIFE,5545,BIFENAZATE,Bifenazate,149877-41-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
BENO,1407,BENOMYL,Benomyl,17804-35-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
PRIM,5488,PRIMISULFURON MÉTHYL,Primisulfuron méthyl,86209-51-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
EU,5484,ETHYLUREE (PESTICIDE),Ethyluree (pesticide),625-52-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
THIOCY2,7512,THIOCYCLAM HYDROGEN OXALATE,Thiocyclam hydrogen oxalate,31895-22-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENOXP,5628,FENOXAPROP-P-ETHYL,Fenoxaprop-p-ethyl,71283-80-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
HMTRIM,7585,HEPTAMETHYLTRISILOXANE MODIFIÉ,heptamethyltrisiloxane modifié,27306-78-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
TMETH,5921,TÉTRAMÉTHRINE,Tétraméthrine,7696-12-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLAQ,1758,CHLORDANE GAMMA,Chlordane gamma,5566-34-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
CYTHIO,7503,CYTHIOATE,Cythioate,115-93-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
BAM,7423,BENALAXYL-M,Benalaxyl-M,98243-83-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
ACEQ,8047,ACEQUINOCYL,Acequinocyl,57960-19-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
ETOXAZ,5625,ETOXAZOLE,Etoxazole,153233-91-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
SDDTDE,6497,"SOMME  DDT, DDD, DDE","Somme  DDT, DDD, DDE",,pesticides,substances actives,,0.1,µg/L,,,,,,,
CARBOSU,1864,CARBOSULFAN,Carbosulfan,55285-14-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
DDTS,3268,DDT SOMME,DDT somme,,pesticides,substances actives,,0.1,µg/L,,,,,,,
DCBUT,1904,DICLOBUTRAZOL,Diclobutrazol,75736-33-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
TNC,7097,TRANS-NONACHLORE,Trans-nonachlore,39765-80-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
PARATH,6947,PARATHIONS (ÉTHYL+MÉTHYL),Parathions (éthyl+méthyl),,pesticides,substances actives,,0.1,µg/L,,,,,,,
TFX,1715,THIOFANOX,Thiofanox,39196-18-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
SPIDIC,8044,SPIRODICLOFEN,Spirodiclofen,148477-71-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
BZDN,1607,BENZIDINE (PESTICIDE),Benzidine (pesticide),92-87-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLTHIAM,1813,CHLORTHIAMIDE,Chlorthiamide,1918-13-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCPAME,2749,MCPA-METHYL ESTER,MCPA-methyl ester,2436-73-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
ZIRA,1722,ZIRAME,Zirame,137-30-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
DITALM,5745,DITALIMFOS,Ditalimfos,5131-24-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
TERBMME,6284,TERBUMÉTON ET SES MÉTABOLITES,Terbuméton et ses métabolites,,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCPABE,6552,"2,4-D-BUTOTYL","2,4-D-butotyl",1929-73-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
HCET,1656,HEXACHLOROÉTHANE (PESTICIDE),Hexachloroéthane (pesticide),67-72-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
NPA,1937,NAPTALAME,Naptalame,132-66-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
TRIADEM,1811,TRIDEMORPHE,Tridemorphe,81412-43-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
SULFOSA,2077,SULFOSATE,Sulfosate,81591-81-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
TOXAPHE,1279,TOXAPHÈNE,Toxaphène,8001-35-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
BANCOL,5542,BENSULTAP,Bensultap,17606-31-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
CINIDON,2938,CINIDON-ETHYL,Cinidon-ethyl,142891-20-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
SPINE,8041,SPINETORAM,Spinetoram,935545-74-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
SPIMES,7738,SPIROMESIFEN,Spiromesifen,283594-90-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
MILB,5655,MILBEMECTIN,Milbemectin,51596-10-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
ISNRRN,6597,ISONORURON,Isonoruron,28805-78-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENP,5630,FENPYROXIMATE,Fenpyroximate,134098-61-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
PHNTN,2061,PHENOTHRINE,Phenothrine,26002-80-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
13DCP,1654,"DICHLOROPROPANE-1,3","Dichloropropane-1,3",142-28-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
PTPD,7509,PENTHIOPYRAD,Penthiopyrad,183675-82-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
FMTHN,1504,FORMOTHION,Formothion,2540-82-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
PHDC,5668,PROHEXADIONE-CALCIUM,Prohexadione-calcium,127277-53-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
HALM,8664,HALAUXIFEN-METHYL,Halauxifen-methyl,943831-98-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
CYTP,7871,CYANTRANILIPROLE,Cyantraniliprole,736994-63-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
AZA,8582,AZADIRACHTIN,Azadirachtin,11141-17-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
SULFO,8786,SULFOXAFLOR,Sulfoxaflor,946578-00-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
MDB,,MANDESTROBINE,Mandestrobine,173662-97-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
OTP,7872,OXATHIAPIPROLIN,Oxathiapiprolin,1003318-67-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
ISOF,,ISOFETAMID,Isofetamid,875915-78-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYRF,8583,PYRIOFENONE,Pyriofenone,688046-61-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
FPDF,,FLUPYRADIFURONE,Flupyradifurone,951659-40-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
GAINE,8744,GAMMA CYHALOTHRINE,Gamma Cyhalothrine,76703-62-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
DCPA,1867,CHLORTHAL,Chlorthal,2136-79-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
ISCBMD,5779,ISOCARBAMIDE,Isocarbamide,30979-48-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
ISCBPS,6596,ISOCARBOPHOS,Isocarbophos,24353-61-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
BTCBX,7148,BUTOCARBOXIM,Butocarboxim,34681-10-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
CARPRO,7147,CARPROPAMIDE,Carpropamide,104030-54-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
DIPHNM,5614,DIPHENAMIDE,Diphenamide,957-51-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYROQU,5828,PYROQUILON,Pyroquilon,57369-32-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
ISPTLN,5783,ISOPROTHIOLANE,Isoprothiolane,50512-35-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYRACA,5825,PYRACARBOLID,Pyracarbolid,24691-76-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
MFTC,,MÉFENTRIFLUCONAZOLE,Méfentrifluconazole,1417782-03-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
BRM,1530,BROMOMÉTHANE,Bromométhane,74-83-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
DMTT,1869,DAZOMET,Dazomet,533-74-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
MBT,2542,MONOBUTYLÉTAIN CATION (PESTICIDE),Monobutylétain cation (pesticide),78763-54-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
BROD,5546,BRODIFACOUM,Brodifacoum,56073-10-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
CYHAL,1138,CYHALOTHRINE,Cyhalothrine,68085-85-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
PRTF,5824,PROTHIOFOS,Prothiofos,34643-46-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
MANEB,1705,MANÈBE,Manèbe,12427-38-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENBUOX,2078,FENBUTATIN OXYDE,Fenbutatin oxyde,13356-08-06,pesticides,substances actives,,0.1,µg/L,,,,,,,
RESM,2859,RESMETHRINE,Resmethrine,10453-86-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
NHFOSAM,5649,FOSAMINE AMMONIUM,Fosamine ammonium,25954-13-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
PCH,2988,PROPAMOCARBE HYDROCHLORIDE,Propamocarbe hydrochloride,25606-41-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
PRQTDC,5661,PARAQUAT DICHLORIDE,Paraquat dichloride,1910-42-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
MFTC,8686,MÉFENTRIFLUCONAZOLE,Méfentrifluconazole,1417782-03-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCPA2EH,2746,MCPA-2-ETHYLHEXYL,MCPA-2-ethylhexyl,29450-45-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCPABU,2747,MCPA-BUTOTYL,MCPA-butotyl,19480-43-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
MEPIQU1,2089,MEPIQUAT CHLORURE (UTILISER MEPIQUA,Mepiquat chlorure (utiliser MEPIQUA),24307-26-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
AMISUL,8043,AMISULBRON,Amisulbron,348635-87-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
PESTOT,6276,TOTAL DES PESTICIDES ANALYSÉS,Total des pesticides analysés,,pesticides,,,0.5,µg/L,,,,,,,